Report Date,Property Name,Unit Number,Size,Baths,Floor Plan Name,Square Feet,Unit Status,Total Market Rent,Lease Type Current Lease,Lease Term Current Lease,Lease End Date Current Lease,Notice On Date Current Lease,Notice For Date Current Lease,Lease Rent Current Lease,MTMFees Current Lease,Length Of Stay,Status,Renewal Status,Lease Type Future Lease,Lease Start Date Future Lease,Lease End Date Future Lease,Move In Date Future Lease,Lease Rent Future Lease,Make Ready Date Future Lease
14/09/2020,My Property,1001,2,2,B1,950,Normal,980,New,12,04/05/2021,,,950,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,1002,2,2,B1,950,Normal,980,Renewal,13,31/12/2020,23/08/2020,09/09/2020,865,0,21,NL,NTV,Transfer,07/10/2020,31/10/2021,21/10/2020,950,
14/09/2020,My Property,1003,2,2,B1,950,Normal,950,Renewal,13,31/01/2021,,,885,0,23,OC,Undecided,,,,,0,
14/09/2020,My Property,1004,2,2,B1,950,Normal,950,New,12,14/06/2021,,,950,0,3,OC,Undecided,,,,,0,
14/09/2020,My Property,101,2,2,B1,950,Normal,950,,,,,,0,0,,VA,,,,,,0,
14/09/2020,My Property,102,2,2,B1,950,Normal,980,New,13,31/10/2020,31/08/2020,31/10/2020,950,0,11,NA,NTV,,,,,0,
14/09/2020,My Property,103,2,2,B1,950,Normal,950,Renewal,13,31/01/2021,,,865,0,20,OC,Undecided,,,,,0,
14/09/2020,My Property,104,2,2,B1,950,Normal,950,New,12,24/08/2021,,,950,0,1,OC,Undecided,,,,,0,
14/09/2020,My Property,1101,2,2,B1,950,Normal,980,Renewal,12,31/03/2021,,,875,0,17,OC,Undecided,,,,,0,
14/09/2020,My Property,1102,2,2,B1,950,Normal,980,New,12,30/04/2021,,,970,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,1103,2,2,B4,950,Normal,1025,Renewal,13,31/03/2021,,,970,0,18,OC,Undecided,,,,,0,
14/09/2020,My Property,1104,2,2,B1,950,Normal,950,New,13,30/11/2020,,,950,0,10,OC,Undecided,,,,,0,
14/09/2020,My Property,1201,2,2,B1,950,Normal,980,New,12,27/04/2021,,,970,0,5,OC,Undecided,,,,,0,
14/09/2020,My Property,1202,2,2,B1,950,Normal,980,Renewal,13,28/02/2021,,,865,0,19,OC,Undecided,,,,,0,
14/09/2020,My Property,1203,2,2,B1,950,Normal,950,New,12,16/05/2021,,,950,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,1204,2,2,B1,950,Normal,950,New,12,20/05/2021,,,950,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,1301,2,2,B1,950,Normal,980,Renewal,12,31/03/2021,,,930,0,24,OC,Undecided,,,,,0,
14/09/2020,My Property,1302,2,2,B1,950,Normal,980,Renewal,12,31/05/2021,,,865,0,27,OC,Undecided,,,,,0,
14/09/2020,My Property,1303,2,2,B1,950,Normal,950,New,12,02/08/2021,,,950,0,1,OC,Undecided,,,,,0,
14/09/2020,My Property,1304,2,2,B1,950,Normal,950,New,13,31/07/2021,,,950,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,14101,1,1,A1,828,Normal,905,New,13,30/09/2020,,,895,0,12,OC,Undecided,,,,,0,
14/09/2020,My Property,14102,1,1,A1,828,Normal,905,New,13,30/09/2020,02/08/2020,30/09/2020,895,0,12,NL,NTV,New,07/10/2020,31/10/2021,07/10/2020,920,
14/09/2020,My Property,14103,1,1,A1,828,Normal,905,New,12,24/08/2021,,,895,0,1,OC,Undecided,,,,,0,
14/09/2020,My Property,14104,1,1,A1,828,Normal,905,New,14,31/10/2020,02/09/2020,31/10/2020,895,0,12,NA,NTV,,,,,0,
14/09/2020,My Property,14201,1,1,A1,828,Normal,895,,,,,,0,0,,VA,,,,,,0,09/08/2020
14/09/2020,My Property,14202,1,1,A1,828,Normal,895,New,12,26/04/2021,,,895,0,5,OC,Undecided,,,,,0,
14/09/2020,My Property,14203,1,1,A1,828,Normal,895,New,13,31/10/2020,,,895,0,11,OC,Undecided,,,,,0,
14/09/2020,My Property,14204,1,1,A1,828,Normal,895,,,,,,0,0,,VA,,,,,,0,09/08/2020
14/09/2020,My Property,14301,1,1,A1,828,Normal,895,New,12,05/07/2021,,,895,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,14302,1,1,A1,828,Normal,895,New,12,27/07/2021,,,895,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,14303,1,1,A1,828,Normal,895,New,13,31/12/2020,,,895,0,9,OC,Undecided,,,,,0,
14/09/2020,My Property,14304,1,1,A1,828,Normal,895,New,12,31/08/2021,,,895,0,0,OC,Undecided,,,,,0,
