CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,COLOR
AGXAP01,1,24K,1,1,2015,309,CA,PAC,AGXOF01A,Oracle - General Ledger,H,#74B232
AGXAP01,2,24K,1,1,2015,2609,CA,PAC,AGXOF01B,Oracle - Payables,H,#B1ED6B
AGXAP01,3,24K,1,1,2015,176,CA,PAC,AGXOF01E,Oracle - Credit to Cash,H,#FFFF00
AGXAP01,4,24K,1,1,2015,432,CA,PAC,AGXOF01F,Oracle - Balance Sheet,H,#59A6CC
AGXAP01,5,24K,1,1,2015,461,CA,PAC,AGXOF01G,Oracle - Assets,H,#C8E1EF
AGXFN01,6,24K,1,1,2015,3890,CA,PAC,AGXOF01A,Oracle - General Ledger,H,#74B232
AGXFN01,7,24K,1,1,2015,1308,CA,PAC,AGXOF01B,Oracle - Payables,H,#B1ED6B
AGXFN01,8,24K,1,1,2015,213,CA,PAC,AGXOF01C,Oracle - Administration,H,#091922
AGXFN01,9,24K,1,1,2015,834,CA,PAC,AGXOF01D,Oracle - Receivables,H,#FFFF00
AGXFN01,10,24K,1,1,2015,1506,CA,PAC,AGXOF01E,Oracle - Credit to Cash,H,#FFFF00
AGXFN01,11,24K,1,1,2015,678,CA,PAC,AGXOF01F,Oracle - Balance Sheet,H,#59A6CC
AGXFN01,12,24K,1,1,2015,543,CA,PAC,AGXOF01G,Oracle - Assets,H,#C8E1EF
AGXHR01,13,24K,1,1,2015,45,CA,PAC,AGXOF01B,Oracle - Payables,H,#B1ED6B
AGXHR01,14,24K,1,1,2015,103,CA,PAC,AGXOF01C,Oracle - Administration,H,#091922
AGXHR01,15,24K,1,1,2015,38,CA,PAC,AGXOF01G,Oracle - Assets,H,#C8E1EF
AGXIA01,16,24K,1,1,2015,23,CA,PAC,AGXOF01A,Oracle - General Ledger,H,#74B232
AGXIA01,17,24K,1,1,2015,34,CA,PAC,AGXOF01C,Oracle - Administration,H,#091922
AGXIA01,18,24K,1,1,2015,17,CA,PAC,AGXOF01F,Oracle - Balance Sheet,H,#59A6CC
AGXIA01,19,24K,1,1,2015,15,CA,PAC,AGXOF01G,Oracle - Assets,H,#C8E1EF
AGXPR01,20,24K,1,1,2015,469,CA,PAC,AGXOF01A,Oracle - General Ledger,H,#74B232
AGXPR01,21,24K,1,1,2015,649,CA,PAC,AGXOF01B,Oracle - Payables,H,#B1ED6B
AGXPR01,22,24K,1,1,2015,78,CA,PAC,AGXOF01C,Oracle - Administration,H,#091922
AGXAR01,23,24K,1,1,2015,253,CA,PAC,AGXOF01A,Oracle - General Ledger,H,#74B232
AGXAR01,24,24K,1,1,2015,3376,CA,PAC,AGXOF01D,Oracle - Receivables,H,#FFFF00
AGXAR01,25,24K,1,1,2015,492,CA,PAC,AGXOF01F,Oracle - Balance Sheet,H,#59A6CC
